Date (UTC), Q (cms)
07/25/2022 04:00,0.170184
07/25/2022 04:15,0.170184
07/25/2022 04:30,0.161972
07/25/2022 04:45,0.161972
07/25/2022 05:00,0.161972
07/25/2022 05:15,0.161972
07/25/2022 05:30,0.161972
07/25/2022 05:45,0.161972
07/25/2022 06:00,0.161972
07/25/2022 06:15,0.161972
07/25/2022 06:30,0.161972
07/25/2022 06:45,0.161972
07/25/2022 07:00,0.161972
07/25/2022 07:15,0.161972
07/25/2022 07:30,0.161972
07/25/2022 07:45,0.161972
07/25/2022 08:00,0.161972
07/25/2022 08:15,0.161972
07/25/2022 08:30,0.161972
07/25/2022 08:45,0.154327
07/25/2022 09:00,0.161972
07/25/2022 09:15,0.154327
07/25/2022 09:30,0.154327
07/25/2022 09:45,0.154327
07/25/2022 10:00,0.154327
07/25/2022 10:15,0.154327
07/25/2022 10:30,0.154327
07/25/2022 10:45,0.154327
07/25/2022 11:00,0.154327
07/25/2022 11:15,0.154327
07/25/2022 11:30,0.154327
07/25/2022 11:45,0.154327
07/25/2022 12:00,0.154327
07/25/2022 12:15,0.154327
07/25/2022 12:30,0.154327
07/25/2022 12:45,0.154327
07/25/2022 13:00,0.154327
07/25/2022 13:15,0.154327
07/25/2022 13:30,0.154327
07/25/2022 13:45,0.154327
07/25/2022 14:00,0.154327
07/25/2022 14:15,0.146681
07/25/2022 14:30,0.154327
07/25/2022 14:45,0.146681
07/25/2022 15:00,0.146681
07/25/2022 15:15,0.146681
07/25/2022 15:30,0.146681
07/25/2022 15:45,0.146681
07/25/2022 16:00,0.146681
07/25/2022 16:15,0.146681
07/25/2022 16:30,0.146681
07/25/2022 16:45,0.146681
07/25/2022 17:00,0.146681
07/25/2022 17:15,0.146681
07/25/2022 17:30,0.146681
07/25/2022 17:45,0.154327
07/25/2022 18:00,0.146681
07/25/2022 18:15,0.146681
07/25/2022 18:30,0.146681
07/25/2022 18:45,0.146681
07/25/2022 19:00,0.146681
07/25/2022 19:15,0.139319
07/25/2022 19:30,0.146681
07/25/2022 19:45,0.146681
07/25/2022 20:00,0.139319
07/25/2022 20:15,0.146681
07/25/2022 20:30,0.146681
07/25/2022 20:45,0.146681
07/25/2022 21:00,0.139319
07/25/2022 21:15,0.146681
07/25/2022 21:30,0.146681
07/25/2022 21:45,0.146681
07/25/2022 22:00,0.146681
07/25/2022 22:15,0.139319
07/25/2022 22:30,0.146681
07/25/2022 22:45,0.146681
07/25/2022 23:00,0.146681
07/25/2022 23:15,0.139319
07/25/2022 23:30,0.146681
07/25/2022 23:45,0.139319
07/26/2022 00:00,0.139319
07/26/2022 00:15,0.139319
07/26/2022 00:30,0.139319
07/26/2022 00:45,0.139319
07/26/2022 01:00,0.139319
07/26/2022 01:15,0.139319
07/26/2022 01:30,0.139319
07/26/2022 01:45,0.139319
07/26/2022 02:00,0.139319
07/26/2022 02:15,0.139319
07/26/2022 02:30,0.139319
07/26/2022 02:45,0.139319
07/26/2022 03:00,0.139319
07/26/2022 03:15,0.146681
07/26/2022 03:30,0.139319
07/26/2022 03:45,0.139319
07/26/2022 04:00,0.139319
07/26/2022 04:15,0.139319
07/26/2022 04:30,0.139319
07/26/2022 04:45,0.139319
07/26/2022 05:00,0.139319
07/26/2022 05:15,0.139319
07/26/2022 05:30,0.139319
07/26/2022 05:45,0.139319
07/26/2022 06:00,0.139319
07/26/2022 06:15,0.139319
07/26/2022 06:30,0.139319
07/26/2022 06:45,0.139319
07/26/2022 07:00,0.139319
07/26/2022 07:15,0.139319
07/26/2022 07:30,0.139319
07/26/2022 07:45,0.139319
07/26/2022 08:00,0.139319
07/26/2022 08:15,0.139319
07/26/2022 08:30,0.139319
07/26/2022 08:45,0.139036
07/26/2022 09:00,0.139036
07/26/2022 09:15,0.131957
07/26/2022 09:30,0.131957
07/26/2022 09:45,0.139036
07/26/2022 10:00,0.139036
07/26/2022 10:15,0.139036
07/26/2022 10:30,0.131957
07/26/2022 10:45,0.139036
07/26/2022 11:00,0.139036
07/26/2022 11:15,0.131957
07/26/2022 11:30,0.139036
07/26/2022 11:45,0.146398
07/26/2022 12:00,0.146398
07/26/2022 12:15,0.154044
07/26/2022 12:30,0.161689
07/26/2022 12:45,0.161689
07/26/2022 13:00,0.161689
07/26/2022 13:15,0.169618
07/26/2022 13:30,0.169618
07/26/2022 13:45,0.17783
07/26/2022 14:00,0.17783
07/26/2022 14:15,0.186042
07/26/2022 14:30,0.186042
07/26/2022 14:45,0.19482
07/26/2022 15:00,0.203598
07/26/2022 15:15,0.221721
07/26/2022 15:30,0.231065
07/26/2022 15:45,0.240693
07/26/2022 16:00,0.250604
07/26/2022 16:15,0.250604
07/26/2022 16:30,0.250604
07/26/2022 16:45,0.260798
07/26/2022 17:00,0.270992
07/26/2022 17:15,0.281469
07/26/2022 17:30,0.291664
07/26/2022 17:45,0.30299
07/26/2022 18:00,0.314317
07/26/2022 18:15,0.325644
07/26/2022 18:30,0.325644
07/26/2022 18:45,0.325644
07/26/2022 19:00,0.33697
07/26/2022 19:15,0.33697
07/26/2022 19:30,0.33697
07/26/2022 19:45,0.348297
07/26/2022 20:00,0.348297
07/26/2022 20:15,0.362456
07/26/2022 20:30,0.385109
07/26/2022 20:45,0.399268
07/26/2022 21:00,0.424753
07/26/2022 21:15,0.45307
07/26/2022 21:30,0.478555
07/26/2022 21:45,0.509703
07/26/2022 22:00,0.53802
07/26/2022 22:15,0.569169
07/26/2022 22:30,0.600317
07/26/2022 22:45,0.634297
07/26/2022 23:00,0.668278
07/26/2022 23:15,0.719248
07/26/2022 23:30,0.736238
07/26/2022 23:45,0.77305
07/27/2022 00:00,0.809862
07/27/2022 00:15,0.809862
07/27/2022 00:30,0.829684
07/27/2022 00:45,0.849505
07/27/2022 01:00,0.869327
07/27/2022 01:15,0.948614
07/27/2022 01:30,1.01374
07/27/2022 01:45,1.05622
07/27/2022 02:00,1.12135
07/27/2022 02:15,1.16949
07/27/2022 02:30,1.19214
07/27/2022 02:45,1.19214
07/27/2022 03:00,1.19214
07/27/2022 03:15,1.21479
07/27/2022 03:30,1.19214
07/27/2022 03:45,1.19214
07/27/2022 04:00,1.19214
07/27/2022 04:15,1.16949
07/27/2022 04:30,1.16949
07/27/2022 04:45,1.16949
07/27/2022 05:00,1.16949
